,ID,Date,Guilty,心理諮商,鑑定書,測謊鑑定,驗傷診斷書,通話紀錄,對話紀錄,坦承,指述,繪圖,輔導紀錄,同事關係,同居關係,按摩,男女朋友
60,臺灣彰化地方法院104年侵訴字第38號刑事判決,民國104年12月04日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
61,臺灣屏東地方法院104年侵訴字第18號刑事判決,民國104年12月03日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
62,臺灣臺中地方法院103年侵訴字第138號刑事判決,民國104年12月01日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1
63,臺灣桃園地方法院104年侵訴字第42號刑事判決,民國104年11月30日,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
64,臺灣臺中地方法院103年侵訴字第98號刑事判決,民國104年11月30日,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1
65,臺灣屏東地方法院104年侵訴字第21號刑事判決,民國104年11月11日,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
66,臺灣高等法院104年侵上訴字第208號刑事判決,民國104年11月10日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,臺灣臺東地方法院103年原侵訴字第23號刑事判決,民國104年11月10日,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
68,臺灣高等法院104年侵上訴字第214號刑事判決,民國104年11月05日,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
69,臺灣臺中地方法院104年侵訴字第105號刑事判決,民國104年10月16日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
70,臺灣嘉義地方法院104年侵訴字第37號刑事判決,民國104年10月14日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
71,臺灣屏東地方法院103年侵訴字第51號刑事判決,民國104年10月06日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
72,臺灣高等法院高雄分院104年侵上訴字第42號刑事判決,民國104年10月01日,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
73,臺灣高等法院104年侵上訴字第232號刑事判決,民國104年09月17日,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
74,臺灣臺南地方法院104年侵訴字第2號刑事判決,民國104年09月09日,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
75,臺灣臺中地方法院104年原侵訴字第4號刑事判決,民國104年09月08日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
76,臺灣高雄地方法院104年侵訴字第3號刑事判決,民國104年09月01日,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
77,臺灣臺中地方法院104年侵訴字第84號刑事判決,民國104年08月27日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
78,臺灣高等法院臺南分院104年侵上訴字第337號刑事判決,民國104年08月19日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,臺灣苗栗地方法院104年侵訴字第19號刑事判決,民國104年08月19日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
80,臺灣花蓮地方法院104年侵訴字第10號刑事判決,民國104年08月07日,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
81,臺灣高雄地方法院103年侵訴字第99號刑事判決,民國104年08月05日,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,臺灣臺中地方法院103年侵訴字第237號刑事判決,民國104年08月04日,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
83,臺灣屏東地方法院103年侵訴字第57號刑事判決,民國104年07月31日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,臺灣屏東地方法院103年侵訴字第83號刑事判決,民國104年07月15日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
85,臺灣高等法院臺南分院103年侵上訴字第940號刑事判決,民國104年07月10日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
86,臺灣士林地方法院104年侵訴字第16號刑事判決,民國104年07月09日,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1
87,臺灣高等法院臺南分院104年原侵上訴字第2號刑事判決,民國104年07月07日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
88,臺灣花蓮地方法院104年侵訴字第1號刑事判決,民國104年07月02日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,臺灣高等法院臺南分院103年侵上更(一)字第29號刑事判決,民國104年06月30日,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
90,臺灣士林地方法院104年侵訴字第11號刑事判決,民國104年06月30日,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
91,臺灣臺南地方法院104年侵訴字第10號刑事判決,民國104年06月17日,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
92,臺灣臺中地方法院104年侵訴字第66號刑事判決,民國104年06月12日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
93,臺灣高雄地方法院103年侵訴字第92號刑事判決,民國104年06月12日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
94,臺灣高雄地方法院104年侵訴字第18號刑事判決,民國104年06月04日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
95,臺灣新北地方法院103年侵訴字第65號刑事判決,民國104年06月02日,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
96,臺灣高雄地方法院104年侵訴字第14號刑事判決,民國104年05月29日,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
97,臺灣桃園地方法院103年侵訴字第4號刑事判決,民國104年05月28日,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
98,臺灣桃園地方法院104年侵訴字第18號刑事判決,民國104年05月22日,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
99,臺灣新竹地方法院104年侵訴字第8號刑事判決,民國104年05月12日,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
100,臺灣新北地方法院103年侵訴字第86號刑事判決,民國104年05月12日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
101,臺灣高雄地方法院103年侵訴字第83號刑事判決,民國104年05月12日,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,臺灣高等法院103年侵上訴字第368號刑事判決,民國104年05月06日,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
103,臺灣高等法院高雄分院103年侵上更(一)字第10號刑事判決,民國104年04月30日,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
104,臺灣士林地方法院104年侵訴字第2號刑事判決,民國104年04月29日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
105,臺灣臺中地方法院103年侵訴字第191號刑事判決,民國104年04月29日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
106,臺灣臺中地方法院103年侵訴字第66號刑事判決,民國104年04月21日,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
107,臺灣臺中地方法院103年侵訴字第16號刑事判決,民國104年04月15日,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
108,臺灣高等法院高雄分院103年軍上更(一)字第2號刑事判決,民國104年04月14日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
109,臺灣桃園地方法院103年原侵訴字第10號刑事判決,民國104年04月09日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
110,臺灣臺中地方法院103年侵訴字第156號刑事判決,民國104年03月25日,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
111,臺灣嘉義地方法院103年侵訴字第38號刑事判決,民國104年03月25日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,臺灣高等法院高雄分院103年侵上訴字第122號刑事判決,民國104年03月19日,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
113,臺灣高等法院花蓮分院103年侵上訴字第59號刑事判決,民國104年03月18日,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
114,臺灣高雄地方法院103年侵訴字第77號刑事判決,民國104年03月10日,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
115,臺灣高雄地方法院103年軍訴字第11號刑事判決,民國104年02月26日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
116,臺灣新北地方法院103年侵訴字第135號刑事判決,民國104年02月26日,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
117,臺灣高等法院臺南分院102年侵上訴字第961號刑事判決,民國104年02月09日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,臺灣高等法院臺南分院102年侵上訴字第960號刑事判決,民國104年02月09日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
119,臺灣臺中地方法院103年侵訴字第219號刑事判決,民國104年02月05日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
120,臺灣高等法院臺南分院103年侵上訴字第211號刑事判決,民國104年02月04日,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
121,臺灣雲林地方法院103年侵訴字第1號刑事判決,民國104年02月04日,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
122,臺灣臺北地方法院102年侵訴字第37號刑事判決,民國104年02月03日,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
123,福建金門地方法院103年原侵訴緝字第1號刑事判決,民國104年01月30日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
124,臺灣高雄地方法院103年侵訴字第39號刑事判決,民國104年01月29日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
125,臺灣高等法院高雄分院103年侵上訴字第53號刑事判決,民國104年01月20日,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
126,臺灣高等法院臺中分院103年侵上訴字第208號刑事判決,民國104年01月15日,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
127,臺灣臺南地方法院103年侵訴字第68號刑事判決,民國104年01月14日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
128,臺灣桃園地方法院102年侵訴字第150號刑事判決,民國103年12月31日,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,臺灣高等法院102年侵上重更(一)字第1號刑事判決,民國103年12月30日,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
130,臺灣高雄地方法院103年侵訴字第82號刑事判決,民國103年12月30日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
131,臺灣士林地方法院103年侵訴字第19號刑事判決,民國103年12月30日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
132,臺灣高雄地方法院103年侵訴字第16號刑事判決,民國103年12月25日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
133,臺灣桃園地方法院103年侵訴字第99號刑事判決,民國103年12月24日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
134,臺灣高等法院102年侵上訴字第110號刑事判決,民國103年12月23日,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,臺灣新北地方法院103年侵訴字第173號刑事判決,民國103年12月05日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,臺灣苗栗地方法院103年侵訴字第39號刑事判決,民國103年12月03日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
137,臺灣花蓮地方法院103年侵訴字第49號刑事判決,民國103年11月28日,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
138,臺灣高等法院臺南分院103年侵上訴字第564號刑事判決,民國103年11月25日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
139,臺灣臺中地方法院103年侵訴字第39號刑事判決,民國103年11月18日,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,臺灣高等法院103年侵上訴字第204號刑事判決,民國103年10月28日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
141,臺灣高等法院臺南分院103年軍上訴字第2號刑事判決,民國103年10月23日,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
142,臺灣臺中地方法院103年侵重訴字第2號刑事判決,民國103年10月23日,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1
143,臺灣高雄地方法院103年侵訴緝字第3號刑事判決,民國103年10月09日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
144,臺灣臺中地方法院102年侵訴字第94號刑事判決,民國103年09月30日,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
145,臺灣桃園地方法院102年侵訴字第41號刑事判決,民國103年09月25日,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
146,臺灣臺中地方法院103年侵訴字第36號刑事判決,民國103年09月17日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
147,臺灣南投地方法院102年侵訴字第31號刑事判決,民國103年09月17日,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
148,臺灣高雄地方法院103年侵訴字第69號刑事判決,民國103年09月05日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
149,臺灣屏東地方法院103年原侵訴字第6號刑事判決,民國103年08月29日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,臺灣高等法院臺南分院103年侵上訴字第468號刑事判決,民國103年08月27日,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
151,臺灣高等法院臺中分院103年侵上訴字第52號刑事判決,民國103年08月26日,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
152,臺灣桃園地方法院102年侵訴緝字第3號刑事判決,民國103年08月21日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1
153,臺灣臺中地方法院103年侵訴字第65號刑事判決,民國103年08月15日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
154,臺灣新北地方法院102年侵訴字第134號刑事判決,民國103年07月31日,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
155,臺灣臺北地方法院102年侵訴字第34號刑事判決,民國103年07月30日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
156,臺灣高等法院102年侵上更(二)字第32號刑事判決,民國103年07月24日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
157,臺灣桃園地方法院102年侵訴字第133號刑事判決,民國103年07月24日,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
158,臺灣高等法院高雄分院103年重侵上更(七)字第1號刑事判決,民國103年07月22日,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
